[2023-09-15 11:08:02,345] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:02 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:02,359] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13985
[2023-09-15 11:08:04,653] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:04 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:04,668] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13996
[2023-09-15 11:08:07,088] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:07 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:07,100] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13991
[2023-09-15 11:08:09,481] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:09 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:09,494] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13979
[2023-09-15 11:08:12,046] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:12 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:12,058] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13964
[2023-09-15 11:08:15,526] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:15 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:15,541] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13996
[2023-09-15 11:08:18,958] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:18 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
