[2020-12-21 12:28:39,843] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:28:59,781] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /admin/app01/role/add/ HTTP/1.1" 302 0
[2020-12-21 12:28:59,829] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/app01/role/ HTTP/1.1" 200 7977
[2020-12-21 12:28:59,853] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:28:59,905] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:28:59,927] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:29:01,581] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 34391
[2020-12-21 12:29:01,625] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:29:01,637] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:29:53,199] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/auth/user/ HTTP/1.1" 200 10606
[2020-12-21 12:29:53,231] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:29:53,283] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:29:53,303] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:29:58,548] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 34391
[2020-12-21 12:29:58,597] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:29:58,606] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:30:01,449] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/auth/group/ HTTP/1.1" 200 4648
[2020-12-21 12:30:01,485] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:30:01,526] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:30:01,548] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:30:04,444] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/auth/group/add/ HTTP/1.1" 200 22977
[2020-12-21 12:30:04,478] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:30:04,552] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:30:04,563] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:31:32,393] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /admin/auth/group/add/ HTTP/1.1" 302 0
[2020-12-21 12:31:32,441] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/auth/group/ HTTP/1.1" 200 5046
[2020-12-21 12:31:32,467] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:31:32,511] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:31:32,534] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:31:36,092] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 34341
[2020-12-21 12:31:36,141] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:31:36,151] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:31:50,189] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/PersonalInfo/departments/ HTTP/1.1" 200 6134
[2020-12-21 12:31:50,222] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:31:50,261] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:31:50,269] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:31:54,124] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/PersonalInfo/departments/add/ HTTP/1.1" 200 9324
[2020-12-21 12:31:54,150] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 12:31:54,205] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:31:54,225] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:32:07,459] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/PersonalInfo/departments/ HTTP/1.1" 200 6134
[2020-12-21 12:32:07,499] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:32:07,511] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 12:32:08,886] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 34341
[2020-12-21 12:32:08,924] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 12:32:08,949] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 13:33:14,952] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 34341
[2020-12-21 13:33:15,122] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 13:33:15,141] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-12-21 13:33:20,175] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/PersonalInfo/positions/ HTTP/1.1" 200 5346
[2020-12-21 13:33:20,202] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2020-12-21 13:33:20,250] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 302 0
[2020-12-21 13:33:20,262] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
