[2022-08-30 08:25:24,624] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanSW/TestPlanSW-edit/?action=getContent&customer=C38(NB)&project=FLMA0&phase=0&category=Accessories%20for%20compatibility%20test%20 HTTP/1.1" 200 14958
[2022-08-30 08:25:30,143] [exception.py:77] [exception:response_for_exception] [ERROR]- Request body exceeded settings.DATA_UPLOAD_MAX_MEMORY_SIZE.
[2022-08-30 08:25:30,176] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-08-30 08:25:30,181] [log.py:228] [log:log_response] [WARNING]- Bad Request: /TestPlanSW/TestPlanSW-edit/
[2022-08-30 08:25:30,184] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 400 85385
[2022-08-30 08:30:14,638] [exception.py:77] [exception:response_for_exception] [ERROR]- Request body exceeded settings.DATA_UPLOAD_MAX_MEMORY_SIZE.
[2022-08-30 08:30:14,670] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-08-30 08:30:14,676] [log.py:228] [log:log_response] [WARNING]- Bad Request: /TestPlanSW/TestPlanSW-edit/
[2022-08-30 08:30:14,678] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 400 85385
[2022-08-30 08:43:06,245] [exception.py:77] [exception:response_for_exception] [ERROR]- Request body exceeded settings.DATA_UPLOAD_MAX_MEMORY_SIZE.
[2022-08-30 08:43:06,278] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-08-30 08:43:06,290] [log.py:228] [log:log_response] [WARNING]- Bad Request: /TestPlanSW/TestPlanSW-edit/
[2022-08-30 08:43:06,293] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 400 85385
[2022-08-30 08:55:53,321] [exception.py:77] [exception:response_for_exception] [ERROR]- Request body exceeded settings.DATA_UPLOAD_MAX_MEMORY_SIZE.
[2022-08-30 08:55:53,370] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-08-30 08:55:53,379] [log.py:228] [log:log_response] [WARNING]- Bad Request: /TestPlanSW/TestPlanSW-edit/
[2022-08-30 08:55:53,381] [basehttp.py:154] [basehttp:log_message] [WARNING]- "POST /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 400 85385
[2022-08-30 09:47:43,011] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-08-30 09:47:43,030] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 200 111559
[2022-08-30 10:33:15,771] [UserIP.py:89] [UserIP:process_response] [CRITICAL]- 系统错误
[2022-08-30 10:33:15,778] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /TestPlanSW/TestPlanSW-edit/ HTTP/1.1" 200 111559
