[2021-02-24 15:55:15,283] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2021-02-24 15:55:16,968] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/pics/add/ HTTP/1.1" 200 4497
[2021-02-24 15:55:17,005] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2021-02-24 15:55:26,448] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/pics/ HTTP/1.1" 200 3210
[2021-02-24 15:55:33,573] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/ HTTP/1.1" 200 12034
[2021-02-24 15:55:34,715] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/ HTTP/1.1" 200 4838
[2021-02-24 15:55:34,753] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2021-02-24 15:55:37,945] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/add/ HTTP/1.1" 200 13346
[2021-02-24 15:55:37,973] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/admin/js/calendar.js HTTP/1.1" 200 7777
[2021-02-24 15:55:37,974] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 20281
[2021-02-24 15:55:37,983] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2021-02-24 15:55:38,039] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[2021-02-24 15:55:59,758] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/ HTTP/1.1" 200 4838
[2021-02-24 15:57:34,957] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/ HTTP/1.1" 200 4838
[2021-02-24 15:57:34,992] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2021-02-24 15:57:38,068] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/add/ HTTP/1.1" 200 14415
[2021-02-24 15:57:38,096] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/admin/js/collapse.js HTTP/1.1" 200 1157
[2021-02-24 15:57:38,100] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
